#Data tag : 19v3 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
301180:6086,08/15/17 08:08:13,92,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.001227384,0.001144008
301183:6086,08/15/17 08:47:34,299,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.004008066,0.003774895
301281:6089,08/15/17 23:07:41,120,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.001665693,0.001545173
301283:6089,08/15/17 23:59:33,884,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.012253761,0.011864287
301298:6090,08/16/17 09:17:06,905,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.011331141,0.010927655
301323:6091,08/16/17 18:21:51,954,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.012523374,0.011889820
301330:6093,08/17/17 05:31:24,332,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.004275138,0.004027684
301359:6094,08/17/17 11:07:05,287,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.003814875,0.003579891
301384:6096,08/17/17 15:43:36,476,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.006140056,0.005897124
301391:6097,08/17/17 21:43:51,175,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.002295441,0.002160905
301392:6097,08/17/17 22:57:14,627,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.008374611,0.008065546
301393:6097,08/18/17 03:04:23,17,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.000226185,0.000217066
301396:6097,08/18/17 03:39:05,26,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.000336033,0.000311655
301397:6097,08/18/17 03:55:16,719,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.010552080,0.010212510
301398:6097,08/18/17 08:43:04,9,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.000132664,0.000069911
301399:6097,08/18/17 08:50:12,108,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.001556992,0.001535299
301417:6098,08/18/17 12:47:02,318,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.004410277,0.004230584
301447:6104,08/19/17 11:30:21,422,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.005738778,0.005488207
301448:6104,08/19/17 14:20:04,325,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.004130144,0.004001767
301449:6104,08/19/17 16:30:03,398,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.006112503,0.005727807
301450:6104,08/19/17 19:07:02,173,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.002490146,0.002428262
301461:6105,08/19/17 23:02:59,554,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7,0.007165030,0.006675551
